,name,owgr_points_current_avg,driving_dist_avg,owgr_points_next_avg,top_tens,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds
143,Ben Crane,0.54,281.1,0.31,1,0.332,67.52,63.0,71.097,-0.302,-0.038,0.184,46
144,Retief Goosen,0.5,296.2,0.14,1,-0.41100000000000003,55.22,56.98,71.40899999999999,-0.392,0.389,-0.083,40
145,Derek Fathauer,0.48,289.1,0.26,1,0.363,53.27,54.99,71.827,-0.757,-0.365,-0.048,68
146,D.A. Points,0.47,280.8,0.14,1,0.11,60.47,53.32,73.01899999999999,-1.069,-0.541,0.051,48
147,Hunter Mahan,0.47,296.9,0.31,1,0.34600000000000003,65.04,58.81,71.135,0.465,-0.149,-0.45299999999999996,51
148,Tyrone Van Aswegen,0.45,290.3,0.19,1,-0.01,56.98,58.08,71.243,-0.493,-0.008,0.187,83
149,Corey Conners,0.44,303.3,1.95,1,-0.385,62.99,57.52,70.743,0.501,0.275,-0.198,79
150,David Hearn,0.42,285.1,0.29,2,-0.127,66.63,55.65,71.325,-0.17,0.379,-0.113,50
151,Jonathan Randolph,0.38,289.4,0.26,1,0.115,62.18,59.83,71.945,-0.271,-0.5379999999999999,-0.182,60
152,J.J. Henry,0.36,291.8,0.19,1,-0.569,66.22,54.77,71.372,0.174,0.34,-0.138,63
153,Cameron Percy,0.36,295.6,0.53,2,-0.205,63.66,57.3,70.90899999999999,0.24100000000000002,0.039,0.21,41
154,Xinjun Zhang,0.33,298.7,1.12,1,-0.43700000000000006,65.33,58.2,71.486,0.139,-0.254,-0.182,57
155,Matt Every,0.27,294.2,0.72,1,-0.364,55.5,52.51,72.044,-0.43700000000000006,-0.024,-0.314,61
156,Steve Wheatcroft,0.23,288.9,0.29,1,-0.128,69.79,61.03,71.631,0.11199999999999999,-0.065,-0.258,46
