RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
89,91,Harold Varner III,84,0.093,6.894,74
90,92,Jason Dufner,74,0.091,5.182,57
91,93,Rafa Cabrera Bello,71,0.089,4.292,48
92,T102,Brandt Snedeker,102,0.083,6.634,80
93,94,J.B. Holmes,78,0.079,3.807,48
T94,95,Martin Laird,88,0.075,5.443,73
T94,81,Sungjae Im,122,0.075,7.478,100
96,96,Nick Watney,87,0.071,4.927,69
T97,T97,C.T. Pan,84,0.054,3.233,60
T97,T97,Sebastián Muñoz,86,0.054,3.482,64
99,99,Jimmy Walker,74,0.051,2.88,57
100,100,Brandon Harkins,91,0.042,2.929,69
101,T102,Francesco Molinari,61,0.04,1.667,42
102,104,Keith Mitchell,86,0.037,2.268,61
103,105,Sung Kang,86,0.036,2.495,70
104,106,Mackenzie Hughes,80,0.032,2.095,66
105,108,Michael Thompson,71,0.018,1.187,65
106,101,Abraham Ancer,93,0.011,0.758,71
107,109,David Hearn,55,0.009,0.318,34
108,110,Adam Hadwin,86,0.008,0.477,62
109,111,Daniel Berger,70,0.007,0.405,59
110,112,Cameron Smith,79,0.004,0.217,53
111,113,Ryan Armour,92,-0.002,-0.145,75
112,114,Luke List,66,-0.005,-0.294,55
113,115,K.H. Lee,92,-0.011,-0.71,62
114,117,Alex Cejka,58,-0.014,-0.545,40
115,118,Johnson Wagner,64,-0.015,-0.694,47
116,119,Graeme McDowell,75,-0.016,-0.817,50
117,120,Bronson Burgoon,59,-0.033,-1.54,47
118,121,Jonas Blixt,82,-0.039,-2.488,64
119,122,Nick Taylor,97,-0.051,-4.401,86
120,123,Bubba Watson,65,-0.052,-2.613,50
121,124,Robert Streb,80,-0.053,-3.162,60
122,125,Phil Mickelson,63,-0.065,-3.257,50
123,126,Chase Wright,75,-0.069,-3.956,57
T124,127,Carlos Ortiz,84,-0.072,-5.159,72
T124,116,Charles Howell III,94,-0.072,-5.229,73
126,128,Kevin Na,65,-0.076,-3.323,44
T127,T129,Jason Day,69,-0.083,-3.902,47
T127,T129,Scott Brown,86,-0.083,-5.633,68
T129,T131,Aaron Wise,72,-0.085,-4.566,54
T129,T131,Pat Perez,68,-0.085,-3.486,41
131,133,Austin Cook,68,-0.095,-5.04,53
T132,T134,Jim Herman,52,-0.11,-4.196,38
T132,T134,Wes Roach,69,-0.11,-5.408,49
134,136,Stephan Jaeger,77,-0.127,-7.262,57
135,137,Patton Kizzire,76,-0.132,-6.987,53
136,138,"Ted Potter, Jr.",73,-0.14,-8.381,60
137,139,Matt Jones,88,-0.148,-9.781,66
138,140,Freddie Jacobson,53,-0.151,-6.027,40
139,141,Tyler Duncan,89,-0.152,-9.869,65
140,142,Richy Werenski,89,-0.163,-11.935,73
141,143,Peter Uihlein,84,-0.168,-9.759,58
142,144,Bill Haas,77,-0.169,-10.315,61
143,145,Si Woo Kim,87,-0.177,-10.471,59
144,146,Kelly Kraft,87,-0.189,-12.292,65
145,147,Jordan Spieth,82,-0.198,-13.077,66
146,148,Whee Kim,73,-0.217,-10.197,47
147,149,Chris Stroud,70,-0.229,-11.918,52
148,151,Brice Garnett,87,-0.253,-16.442,65
149,152,Kramer Hickok,79,-0.264,-15.562,59
150,153,J.J. Henry,58,-0.273,-11.191,41
151,154,Fabián Gómez,62,-0.286,-13.715,48
152,155,Julián Etulain,70,-0.289,-14.749,51
153,156,Ryan Blaum,90,-0.292,-21.006,72
154,157,Sam Burns,80,-0.293,-19.928,68
155,158,Anirban Lahiri,73,-0.298,-17.608,59
156,159,Brian Harman,91,-0.301,-21.355,71
157,160,Ollie Schniederjans,77,-0.308,-18.817,61
158,161,Brendan Steele,68,-0.316,-16.134,51
159,162,Brady Schnell,53,-0.318,-12.402,39
160,163,Ben Silverman,70,-0.33,-18.5,56
161,164,Cameron Champ,78,-0.335,-22.805,68
162,165,Aaron Baddeley,55,-0.34,-14.277,42
163,167,Ernie Els,51,-0.355,-10.658,30
164,168,Alex Noren,63,-0.366,-15.745,43
165,169,Patrick Rodgers,55,-0.383,-17.214,45
166,170,Brian Gay,93,-0.392,-28.196,72
167,171,Satoshi Kodaira,67,-0.399,-20.327,51
168,172,Kyle Jones,72,-0.403,-21.767,54
169,173,Cody Gribble,74,-0.427,-24.775,58
170,174,Kiradech Aphibarnrat,65,-0.433,-19.482,45
171,175,Harris English,97,-0.437,-34.518,79
172,176,Denny McCarthy,89,-0.448,-30.94,69
173,177,José de Jesús Rodríguez,67,-0.455,-22.286,49
174,178,Roberto Díaz,73,-0.466,-23.741,51
175,179,Rod Pampling,56,-0.473,-19.383,41
176,180,Scott Langley,78,-0.483,-30.933,64
177,181,Joey Garber,63,-0.501,-21.534,43
178,182,Michael Kim,61,-0.545,-24.507,45
179,183,Hunter Mahan,59,-0.563,-26.471,47
180,184,Sangmoon Bae,60,-0.568,-22.717,40
181,185,Wyndham Clark,87,-0.572,-41.761,73
182,186,Seamus Power,80,-0.676,-41.913,62
183,187,John Chin,58,-0.76,-28.864,38
184,188,Beau Hossler,87,-0.765,-52.016,68
185,189,Dominic Bozzelli,73,-0.766,-37.519,49
186,190,Curtis Luck,65,-0.847,-37.262,44
187,191,Seth Reeves,73,-0.941,-49.88,53
188,192,Martin Trainer,63,-1.378,-68.886,50
