RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
160,163,Ryan Palmer,74,-0.216,-11.03,51
161,164,Adam Hadwin,86,-0.227,-14.096,62
162,165,Brendan Steele,68,-0.228,-11.647,51
163,166,Charley Hoffman,74,-0.23,-10.827,47
164,167,Hudson Swafford,59,-0.239,-11.216,47
165,172,Jason Kokrak,94,-0.241,-18.09,75
166,168,Andrew Landry,80,-0.244,-15.854,65
167,169,Sam Saunders,78,-0.247,-16.536,67
168,170,Chesson Hadley,76,-0.252,-15.128,60
169,171,Alex Cejka,58,-0.257,-10.284,40
170,173,Johnson Wagner,64,-0.268,-12.614,47
171,174,Kelly Kraft,87,-0.273,-17.773,65
172,175,Jim Knous,57,-0.275,-10.723,39
173,176,Trey Mullinax,77,-0.293,-18.458,63
174,177,Sangmoon Bae,60,-0.302,-12.088,40
T175,T178,Max Homa,82,-0.304,-21.008,69
T175,T178,Sam Burns,80,-0.304,-20.676,68
177,180,David Hearn,55,-0.309,-10.512,34
178,181,Chase Wright,75,-0.313,-17.836,57
179,182,Alex Prugh,77,-0.323,-18.418,57
180,183,Jim Herman,52,-0.325,-12.332,38
181,184,"Ted Potter, Jr.",73,-0.335,-20.076,60
182,185,Emiliano Grillo,85,-0.345,-18.996,55
T183,T186,John Chin,58,-0.366,-13.897,38
T183,T186,Seth Reeves,73,-0.366,-19.393,53
185,188,Austin Cook,68,-0.372,-19.739,53
186,190,Satoshi Kodaira,67,-0.414,-21.131,51
187,191,Hunter Mahan,59,-0.574,-26.998,47
188,192,Cameron Champ,78,-0.597,-40.617,68
